brand,categories,cashback,tier_rates,upsized,url
Anantara Hotels and Resorts,Holidays,3% Cashback,,,https://www.topcashback.com.au/anantara-hotels-and-resorts/
Anastasia Beverly Hills,Body and Hair; Cosmetics; Health and Beauty,Up to 8% Cashback,,,https://www.topcashback.com.au/anastasia-beverly-hills/
Ancient Greek Sandals,Footwear; Fashion,8% Cashback,,,https://www.topcashback.com.au/ancient-greek-sandals/
Andie Swim,Activewear,Up to 10% Cashback,,,https://www.topcashback.com.au/andie-swim/
Angara,Accessories; Gifts; Jewellery; Fashion,3% Cashback,,,https://www.topcashback.com.au/angara/
Anker,Contracts and PAYG; Electricals; Home Appliances; Mobile Phones; Home and Garden,8% Cashback,,,https://www.topcashback.com.au/anker/
Anker SOLIX,Electricals; Home and Garden,5% Cashback,,,https://www.topcashback.com.au/anker-solix/
Anthony Squires,Fashion,10% Cashback,,,https://www.topcashback.com.au/anthony-squires/
Antler,Accessories; Fashion,3.5% Cashback,,,https://www.topcashback.com.au/antler/
Antonioli,Accessories; Jewellery,8% Cashback,,,https://www.topcashback.com.au/antonioli/
Apex Car Rentals,Car Hire,7% Cashback,,,https://www.topcashback.com.au/apex-car-rentals/
Apple,Delivery Services; Contracts and PAYG; Electricals; Jewellery; Laptops and Computers; Credit Rating; Mobile Phones; Fashion; More Shopping; Home and Garden,2% Cashback,,,https://www.topcashback.com.au/apple/
AQUAME,Food and Drinks,20% Cashback,,,https://www.topcashback.com.au/aquame/
Ark Swimwear,Fashion,10% Cashback,,,https://www.topcashback.com.au/ark-swimwear/
Arms Of Eve,Accessories; Jewellery; Fashion,Up to 5% Cashback,,,https://www.topcashback.com.au/arms-of-eve/
Ashaya,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/ashaya/
Ashford,Jewellery; Luxury; Fashion,4% Cashback,,,https://www.topcashback.com.au/ashford/
ASICS,Activewear; Cyclingtest; Footwear; Fashion,5% Cashback,,,https://www.topcashback.com.au/asics/
ASOS,Accessories; Cyclingtest; Footwear; Fashion; Menswear,Up to 6% Cashback,,,https://www.topcashback.com.au/asos/
Aspiga,Fashion,2% Cashback,,,https://www.topcashback.com.au/aspiga/
Aspinal of London,Accessories; Fashion,Up to 15% Cashback,,yes,https://www.topcashback.com.au/aspinal-of-london/
Atlantis Sleep,Interior Decor; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/atlantis-sleep/
AttractionTickets.com,Holidays,Up to 2% Cashback,,yes,https://www.topcashback.com.au/attractiontickets/
Atura Hotels & Resorts,Accommodation,3% Cashback,,,https://www.topcashback.com.au/atura-hotels-and-resorts/
Auguste The Label,Fashion,5% Cashback,,,https://www.topcashback.com.au/auguste-the-label/
Aunt Betty,Flights,2% Cashback,,,https://www.topcashback.com.au/aunt-betty/
AURA Home,Gifts; Home and Garden,7% Cashback,,,https://www.topcashback.com.au/aura-home/
Auras Insurance,Insurance; Landlord Insurance,20% Cashback,,,https://www.topcashback.com.au/auras-insurance/
aussieBum,Fashion,5% Cashback,,,https://www.topcashback.com.au/aussiebum/
Australian NaturalCare,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/australian-naturalcare/
Australian Ugg Boots,Footwear; Fashion,6.4% Cashback,,,https://www.topcashback.com.au/australian-ugg-boots/
Auto Europe Car Rentals,Car Hire,3% Cashback,,,https://www.topcashback.com.au/auto-europe-car-rentals/
Autobarn,Diy; Electricals; Home Appliances; Home and Garden,3% Cashback,,,https://www.topcashback.com.au/autobarn/
Autograph,Footwear; Health and Beauty; Lingerie; Fashion; Home and Garden,Up to 5% Cashback,,,https://www.topcashback.com.au/autograph/
Automotive Superstore,Cars and Bikes; More Shopping,2.5% Cashback,,,https://www.topcashback.com.au/automotive-superstore/
Avani Hotels & Resorts,Accommodation,4% Cashback,,,https://www.topcashback.com.au/avani-hotels-and-resorts/
Aveda,Body and Hair; Cosmetics; Health and Beauty,Up to 5% Cashback,,,https://www.topcashback.com.au/aveda/
AVIS Car Rentals,Car Hire,Up to 7% Cashback,,,https://www.topcashback.com.au/avis/
AVIS Car Rentals (NZ),Car Hire,Up to 7% Cashback,,,https://www.topcashback.com.au/avis-nz/
Awai,Accommodation; Flights; Holidays,4% Cashback,,,https://www.topcashback.com.au/awai/
AXL+CO,Fashion; Menswear,3% Cashback,,,https://www.topcashback.com.au/axl-co/
Azura Runway,Fashion,10% Cashback,,,https://www.topcashback.com.au/azura-runway/
Baby Bunting,More Shopping,Up to 3% Cashback,,,https://www.topcashback.com.au/baby-bunting/
Baccarat,Home and Garden,4% Cashback,,,https://www.topcashback.com.au/baccarat/
Bagsmart,Accessories; Fashion,6% Cashback,,,https://www.topcashback.com.au/bagsmart/
Baloo Living,Home and Garden,5% Cashback,,,https://www.topcashback.com.au/baloo-living/
Balsam Hill AU,Home and Garden,4% Cashback,,,https://www.topcashback.com.au/balsam-hill-au/
Banana Republic,Accessories; Fashion,4% Cashback,,,https://www.topcashback.com.au/banana-republic/
Banbe Eyewear,Eyecare; Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/banbe-eyewear/
Banggood,Footwear; Health and Beauty; Marketplace; Fashion; Home and Garden; Menswear,6% Cashback,,,https://www.topcashback.com.au/bang-good/
Banksia Tourist Park,Accommodation,6% Cashback,,,https://www.topcashback.com.au/banksia-tourist-park/
BannerBuzz,Gifts; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/bannerbuzz/
BannerBuzz (NZ),New Zealand Brands,6% Cashback,,,https://www.topcashback.com.au/bannerbuzz-nz/
Barcelo,Accommodation,6% Cashback,,,https://www.topcashback.com.au/barcelo/
Bardot,Accessories; Fashion,8% Cashback,,,https://www.topcashback.com.au/bardot/
Bardot Junior,Kidswear; Fashion,8% Cashback,,,https://www.topcashback.com.au/bardot-junior/
Base Blu,Luxury; Fashion,6% Cashback,,,https://www.topcashback.com.au/base-blu/
BASE Compression,Activewear,10% Cashback,,,https://www.topcashback.com.au/base-compression/
Bassike,Fashion,5% Cashback,,,https://www.topcashback.com.au/bassike/
Bausele,Accessories; Jewellery; Fashion,7% Cashback,,,https://www.topcashback.com.au/bausele/
BCF,Fashion,3% Cashback,,,https://www.topcashback.com.au/bcf/
Be Fit Food,Food and Drinks; Health and Beauty; Nutrition and Supplements,Up to 10% Cashback,,,https://www.topcashback.com.au/be-fit-food/
Beachcomber Hotels & Resorts,Accommodation,6% Cashback,,,https://www.topcashback.com.au/beachcomber-hotels-and-resorts/
Beauty Affairs,Cosmetics; Fragrances; Health and Beauty; Luxury,7% Cashback,,,https://www.topcashback.com.au/beauty-affairs/
Beauty Amora,Body and Hair; Cosmetics; Eyecare; Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/beauty-amora/
BecexTech,Contracts and PAYG; Electricals; Laptops and Computers; Mobile Phones; Home and Garden,0.6% Cashback,,,https://www.topcashback.com.au/becextech/
Becextech (NZ),New Zealand Brands,0.8% Cashback,,,https://www.topcashback.com.au/becextech-nz/
Bed Bath N' Table,Garden; Furniture; Home Appliances; Interior Decor; Health and Beauty; Home and Garden,9% Cashback,,,https://www.topcashback.com.au/bed-bath-n-table/
BeDaring,Lingerie; Fashion,15% Cashback,,,https://www.topcashback.com.au/bedaring/
Bedding co.,Furniture; Home and Garden,22% Cashback,,yes,https://www.topcashback.com.au/bedding-co/
Beds n Dreams,Furniture; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/beds-n-dreams/
Bedworks,Furniture; Interior Decor,3% Cashback,,,https://www.topcashback.com.au/bedworks/
Bedzy,Furniture; Home and Garden,Up to 5% Cashback,,,https://www.topcashback.com.au/bedzy/
Beer Cartel,Alcohol; Food and Drinks,7% Cashback,,,https://www.topcashback.com.au/beer-cartel/
Beginning Boutique,Accessories; Footwear; Jewellery; Fashion,Up to 5% Cashback,,,https://www.topcashback.com.au/beginning-boutique/
Belkin,Electricals; Home and Garden,4% Cashback,,,https://www.topcashback.com.au/belkin/
Belle & Bloom,Fashion,5% Cashback,,,https://www.topcashback.com.au/belle-and-bloom/
BelleZeke,Fashion,8% Cashback,,,https://www.topcashback.com.au/bellezeke/
Bellroy,Accessories; Fashion,9% Cashback,,,https://www.topcashback.com.au/bellroy/
Bendon Lingerie,Fashion,9% Cashback,,,https://www.topcashback.com.au/bendon-lingerie/
Berjaya Hotels & Resorts,Accommodation,3% Cashback,,,https://www.topcashback.com.au/berjaya-hotels-and-resorts/
Berlei,Accessories; Fashion,6% Cashback,,,https://www.topcashback.com.au/berlei/
Bernardelli,Kidswear; Fashion,6% Cashback,,,https://www.topcashback.com.au/bernardelli/
Bessemer,Home Appliances; Home and Garden,6% Cashback,,,https://www.topcashback.com.au/bessemer/
Best & Less,Kidswear; Fashion; Menswear,3% Cashback,,,https://www.topcashback.com.au/best-and-less/
Best Restaurants Gift Cards,Gifts,7% Cashback,,,https://www.topcashback.com.au/best-restaurants-gift-cards/
BestDeals (NZ),New Zealand Brands,5% Cashback,,,https://www.topcashback.com.au/bestdeals-nz/
Betty Basics,Fashion,10% Cashback,,,https://www.topcashback.com.au/betty-basics/
Big Box Store,Electricals; Furniture; Home Appliances; Interior Decor; Home and Garden,7% Cashback,,,https://www.topcashback.com.au/big-box-store/
Big Little Campers (NZ),Car Hire,6% Cashback,,,https://www.topcashback.com.au/big-little-campers-nz/
BIG W,Electricals; Footwear; Furniture; Home Appliances; Interior Decor; Kidswear; Fashion; Home and Garden; Menswear,0.5% Cashback,,,https://www.topcashback.com.au/big-w/
BIG W Marketplace,Accessories; Electricals; Garden; Footwear; Furniture; Home Appliances; Interior Decor; Kidswear; Lingerie; Fashion; Home and Garden; Menswear,4% Cashback,,,https://www.topcashback.com.au/big-w-marketplace/
Billini,Footwear; Fashion,Up to 8% Cashback,,yes,https://www.topcashback.com.au/billini/
Bing Lee,Electricals; Cyclingtest; Home Appliances; Health and Beauty; Marketplace; More Shopping; Home and Garden,1.5% Cashback,,,https://www.topcashback.com.au/bing-lee/
Biovea,Health and Beauty; Nutrition and Supplements,5% Cashback,,,https://www.topcashback.com.au/biovea/
Bissell,Home Appliances; Home and Garden,7% Cashback,,yes,https://www.topcashback.com.au/bissell/
Bistara Linen,Furniture; Interior Decor; Home and Garden,15% Cashback,,,https://www.topcashback.com.au/bistara-linen/
Black,Accessories; Fashion,5% Cashback,,,https://www.topcashback.com.au/black/
Black Pepper,Fashion,4% Cashback,,,https://www.topcashback.com.au/black-pepper/
Blackmores,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/blackmores/
Blinkist,Apps and Services; Iphone; Mobile Phones,20% Cashback,,,https://www.topcashback.com.au/blinkist/
Bloomingdales,Footwear; Jewellery; Kidswear; Fashion; Menswear,3% Cashback,,,https://www.topcashback.com.au/bloomingdales/
Blue Bungalow,Fashion,1% Cashback,,,https://www.topcashback.com.au/blue-bungalow/
Blue Illusion,Footwear; Jewellery; Fashion,5% Cashback,,,https://www.topcashback.com.au/blue-illusion/
Blue Travel Insurance,Experiences; Holidays,8% Cashback,,,https://www.topcashback.com.au/blue-travel-insurance/
Bluebella,Fashion,Up to 8% Cashback,,,https://www.topcashback.com.au/bluebella/
Blys,Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/blys/
Bobbi Brown,Cosmetics; Health and Beauty,Up to 5% Cashback,,,https://www.topcashback.com.au/bobbi-brown/
Bockers & Pony,Gifts,6% Cashback,,,https://www.topcashback.com.au/bockers-and-pony/
Boden,Kidswear; Fashion; Menswear,Up to 3% Cashback,,,https://www.topcashback.com.au/boden/
Bogs Footwear,Footwear; Fashion,7% Cashback,,,https://www.topcashback.com.au/bogs-footwear/
Bohemian Traders,Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/bohemian-traders/
Bondi Sands,Body and Hair; Cosmetics; Health and Beauty,Up to 8% Cashback,,,https://www.topcashback.com.au/bondi-sands/
Bondi Smile,Cosmetics; Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/bondi-smile/
Bonds,Accessories; Cyclingtest; Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/bonds/
Bonheur Jewellery,Jewellery; Fashion,15% Cashback,,,https://www.topcashback.com.au/bonheur-jewellery/
Boody,Lingerie; Fashion,Up to 15% Cashback,,,https://www.topcashback.com.au/boody/
Boohoo,Footwear; Fashion,Up to 5% Cashback,,,https://www.topcashback.com.au/boohoo/
BoohooMAN,Footwear; Fashion,Up to 6% Cashback,,,https://www.topcashback.com.au/boohooman/
BookFHR,Car Hire; Flights; Holidays,Up to 8.5% Cashback,,,https://www.topcashback.com.au/bookfhr/
Booktopia,Books Magazines,3% Cashback,,,https://www.topcashback.com.au/booktopia/
Boost Mobile,Contracts and PAYG; Mobile Phones,Up to $70 Cashback,,yes,https://www.topcashback.com.au/boost-mobile/
Boost Refurb Shop,Mobile Phones,$10 Cashback,,,https://www.topcashback.com.au/boost-refurb-shop/
Bose,Electricals,Up to 3% Cashback,,,https://www.topcashback.com.au/bose/
Boutiquefeel,Activewear; Accessories; Footwear; Lingerie; Fashion,10% Cashback,,,https://www.topcashback.com.au/boutiquefeel/
Bras n Things,Lingerie; Fashion,Up to 5.4% Cashback,,,https://www.topcashback.com.au/bras-n-things/
Braun,Electricals; Home Appliances; Home and Garden,10% Cashback,,,https://www.topcashback.com.au/braun/
Brava Lingerie,Lingerie; Fashion,5% Cashback,,,https://www.topcashback.com.au/brava-lingerie/
Breville,Electricals; Home Appliances; Home and Garden,11% Cashback,,yes,https://www.topcashback.com.au/breville/
Brewquets,Alcohol; Food and Drinks; Gifts,7% Cashback,,,https://www.topcashback.com.au/brewquets/
BRITA,Home Appliances; Home and Garden,10% Cashback,,,https://www.topcashback.com.au/brita/
Brooks Running,Activewear; Footwear; Fashion,Up to 2% Cashback,,,https://www.topcashback.com.au/brooks-running/
Brooks Running (NZ),Footwear; Fashion,10% Cashback,,,https://www.topcashback.com.au/brooks-running-nz/
Browns Fashion,Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/browns-fashion/
Bubledon,Fashion,15% Cashback,,,https://www.topcashback.com.au/bubledon/
Budget Car Rentals,Car Hire,Up to 7% Cashback,,,https://www.topcashback.com.au/budget/
Budget Car Rentals (NZ),Car Hire,Up to 7% Cashback,,,https://www.topcashback.com.au/budget-car-rentals-nz/
Bump Shoes,Footwear; Fashion,7.5% Cashback,,,https://www.topcashback.com.au/bump-shoes/
BURGA,Accessories; Fashion,Up to 10% Cashback,,,https://www.topcashback.com.au/burga/
Bush Tucker Blends,Food; Food and Drinks,10% Cashback,,,https://www.topcashback.com.au/bush-tucker-blends/
ButcherCrowd,Food; Food and Drinks,7% Cashback,,,https://www.topcashback.com.au/butchercrowd/
Butter Travel Insurance,Insurance; Landlord Insurance,12.5% Cashback,,,https://www.topcashback.com.au/butter-travel-insurance/
BWS,Alcohol; Food and Drinks,Up to 5.6% Cashback,,,https://www.topcashback.com.au/bws/
By Charlotte,Jewellery; Fashion,5% Cashback,,,https://www.topcashback.com.au/by-charlotte/
byFood,Food and Drinks,5% Cashback,,,https://www.topcashback.com.au/byfood/
BYOjet,Flights; Holidays,2% Cashback,,,https://www.topcashback.com.au/byojet/
Cable Melbourne,Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/cable-melbourne/
Callie,Gifts; Marketplace,6% Cashback,,,https://www.topcashback.com.au/calliee/
Calvin Klein,Accessories; Lingerie; Fashion; Menswear,3% Cashback,,,https://www.topcashback.com.au/calvin-klein/
Calvin Klein (NZ),New Zealand Brands,3% Cashback,,,https://www.topcashback.com.au/calvin-klein-nz/
Camera House,Electricals; Home and Garden,1.9% Cashback,,,https://www.topcashback.com.au/camera-house/
CameraPro,Home and Garden,2% Cashback,,,https://www.topcashback.com.au/camerapro/
Camilla,Accessories; Kidswear; Luxury; Fashion; Home and Garden; Menswear,Up to 6% Cashback,,yes,https://www.topcashback.com.au/camilla/
Camper,Footwear; Fashion,Up to 8% Cashback,,,https://www.topcashback.com.au/camperau/
Camplify,Cars and Bikes,5% Cashback,,yes,https://www.topcashback.com.au/camplify/
Canningvale,Furniture; Home and Garden,4% Cashback,,,https://www.topcashback.com.au/canningvale/
Car Mods Australia,Cars and Bikes,Up to 5% Cashback,,,https://www.topcashback.com.au/car-mods-australia/
Carbar,Car Hire,$10 Cashback,,,https://www.topcashback.com.au/carbar/
Care You,Gifts,5% Cashback,,,https://www.topcashback.com.au/care-you/
CarHistory,Cars and Bikes,15% Cashback,,,https://www.topcashback.com.au/carhistory/
Carina Hair Wigs,Body and Hair; Health and Beauty,25% Cashback,,,https://www.topcashback.com.au/carina-hair-wigs/
Carla Zampatti,Fashion,Up to 6% Cashback,,,https://www.topcashback.com.au/carla-zampatti/
Carly Australia,Cars and Bikes,$10 Cashback,,,https://www.topcashback.com.au/carly-australia/
CarMatsCulture,Cars and Bikes,1% Cashback,,,https://www.topcashback.com.au/carmatsculture/
Cars24,Cars and Bikes; Car Hire,$40 Cashback,,,https://www.topcashback.com.au/cars24/
Cartridges Direct,Contracts and PAYG; Electricals; Laptops and Computers; Mobile Phones; Home and Garden,Up to 4% Cashback,,,https://www.topcashback.com.au/cartridges-direct/
Casadei,Footwear; Fashion,7% Cashback,,,https://www.topcashback.com.au/casadei/
CASETiFY,Contracts and PAYG; Accessories; Mobile Phones; Fashion,Up to 5% Cashback,,,https://www.topcashback.com.au/casetify/
Castore,Activewear; Fashion,5% Cashback,,,https://www.topcashback.com.au/castore/
CAT Workwear,Accessories; Footwear; Kidswear; Fashion; Menswear,5% Cashback,,,https://www.topcashback.com.au/cat-workwear/
Cathay Pacific,Flights,1% Cashback,,,https://www.topcashback.com.au/cathay-pacific/
Celebration Box (NZ),Gifts,5% Cashback,,,https://www.topcashback.com.au/celebration-box-nz/
CellarSpace,Alcohol; Food and Drinks,Up to 10% Cashback,,,https://www.topcashback.com.au/cellarspace/
CEMOY,Cosmetics; Eyecare; Fragrances; Health and Beauty,8% Cashback,,,https://www.topcashback.com.au/cemoy/
Chain Valley Gifts,Gifts,10% Cashback,,,https://www.topcashback.com.au/chain-valley-gifts/
Champion,Activewear; Accessories; Fashion,4% Cashback,,,https://www.topcashback.com.au/champion/
Chanalai Hotels & Resorts,Accommodation,6% Cashback,,,https://www.topcashback.com.au/chanalai-hotels-and-resorts/
Charity Hampers,Alcohol; Food and Drinks; Gifts; Luxury,8% Cashback,,,https://www.topcashback.com.au/charity-hampers/
Charles & Keith,Accessories; Eyecare; Footwear; Jewellery; Health and Beauty; Fashion,Up to 8% Cashback,,,https://www.topcashback.com.au/charles-and-keith/
Charles Tyrwhitt,Fashion; Menswear,10% Cashback,,yes,https://www.topcashback.com.au/charles-tyrwhitt/
Charlotte Tilbury,Body and Hair; Cosmetics; Gifts; Health and Beauty,2% Cashback,,,https://www.topcashback.com.au/charlotte-tilbury/
Check My Body Health,Health and Beauty,15% Cashback,,,https://www.topcashback.com.au/check-my-body-health/
ChefGood,Food; Food and Drinks,Up to 15% Cashback,,yes,https://www.topcashback.com.au/chefgood/
Chemist Direct,Health and Beauty; More Shopping,4% Cashback,,,https://www.topcashback.com.au/chemist-direct/
Chemist Warehouse,Body and Hair; Cosmetics; Fragrances; Health and Beauty; Nutrition and Supplements,2% Cashback,,,https://www.topcashback.com.au/chemist-warehouse/
Chemist Warehouse (NZ),Body and Hair; Cosmetics; Eyecare; Fragrances; Health and Beauty; Nutrition and Supplements,1% Cashback,,,https://www.topcashback.com.au/chemist-warehouse-nz/
Cherry Banana,Lingerie; Fashion,Up to 15% Cashback,,,https://www.topcashback.com.au/cherry-banana/
ChicMe,Activewear; Lingerie,10% Cashback,,,https://www.topcashback.com.au/chicme/
Chief Nutrition,Food; Food and Drinks; Health and Beauty; Nutrition and Supplements,Up to 8% Cashback,,,https://www.topcashback.com.au/chief-nutrition/
Chiropedic,Furniture; Home and Garden,8% Cashback,,,https://www.topcashback.com.au/chiropedic/
Chow Sang Sang Jewellery,Accessories; Gifts; Jewellery; Fashion,Up to 12% Cashback,,yes,https://www.topcashback.com.au/chow-sang-sang-jewellery/
Christmas Warehouse,Diy; Electricals; Garden; Furniture; Interior Decor; Home and Garden,4% Cashback,,,https://www.topcashback.com.au/christmas-warehouse/
CIRCA,Gifts,8% Cashback,,,https://www.topcashback.com.au/circa/
CIRCA (NZ),New Zealand Brands,7% Cashback,,,https://www.topcashback.com.au/circa-nz/
CircleDNA,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/circledna/
City Beach,Accessories; Cyclingtest; Fashion,Up to 6% Cashback,,,https://www.topcashback.com.au/city-beach/
City Chic,Accessories; Fashion,Up to 8% Cashback,,,https://www.topcashback.com.au/city-chic/
City Perfume,Cosmetics; Fragrances; Health and Beauty,5% Cashback,,,https://www.topcashback.com.au/city-perfume/
Cityroomz Hotels,Accommodation,3% Cashback,,,https://www.topcashback.com.au/cityroomz-hotels/
Clarks,Footwear; Fashion,8% Cashback,,,https://www.topcashback.com.au/clarks/
ClassBento,Food and Drinks,Up to 5% Cashback,,,https://www.topcashback.com.au/classbento/
Clearly,Eyecare; Health and Beauty,Up to 8% Cashback,,,https://www.topcashback.com.au/clearly/
Clinique,Cosmetics; Health and Beauty,Up to 5% Cashback,,,https://www.topcashback.com.au/clinique/
Club L London,Accessories; Fashion,Up to 7% Cashback,,,https://www.topcashback.com.au/club-l-london/
Club X,Lingerie; Fashion,Up to 15% Cashback,,,https://www.topcashback.com.au/club-x/
Coach,Accessories; Cyclingtest; Gifts; Footwear; Fashion; More Shopping; Menswear,5% Cashback,,,https://www.topcashback.com.au/coach/
Coccinelle,Fashion,7% Cashback,,,https://www.topcashback.com.au/coccinelle/
Coco&Eve,Body and Hair; Health and Beauty,8% Cashback,,,https://www.topcashback.com.au/coco-and-eve/
Coggles,Footwear; Jewellery; Interior Decor; Fashion,Up to 6% Cashback,,,https://www.topcashback.com.au/coggles/
Coles,Food and Drinks,0.3% Cashback,,,https://www.topcashback.com.au/coles/
Compare Club,Insurance; Landlord Insurance,Up to $100 Cashback,,,https://www.topcashback.com.au/compare-club/
Compare The Market,Energy; Insurance; Landlord Insurance; Credit Rating; More Shopping,Up to $200 Cashback,,,https://www.topcashback.com.au/compare-the-market/
Connor,Accessories; Fashion; Menswear,3% Cashback,,,https://www.topcashback.com.au/connor/
Connor (NZ),Fashion,3% Cashback,,,https://www.topcashback.com.au/connor-nz/
Conserving Beauty,Health and Beauty,10% Cashback,,,https://www.topcashback.com.au/conserving-beauty/
Constance Hotels & Resorts,Accommodation,5% Cashback,,,https://www.topcashback.com.au/constance-hotels-and-resorts/
Contiki,Accommodation; Experiences; Holidays,5% Cashback,,,https://www.topcashback.com.au/contiki/
Converse,Footwear; Fashion,2% Cashback,,,https://www.topcashback.com.au/converse/
CookDineHost,Home Appliances; Home and Garden,Up to 8% Cashback,,,https://www.topcashback.com.au/cookdinehost/
Cookware Brands,Home and Garden,7% Cashback,,,https://www.topcashback.com.au/cookware-brands/
CoolThings Australia,Gifts,6.4% Cashback,,,https://www.topcashback.com.au/coolthings-australia/
